X,Y,Z,rX,rY,rZ,empty
8257966.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8257993.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258017.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258042.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258065.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258087.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258110.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8258176.000,430.015,-298.260,400.007,0.000,90.000,90.000,
8258213.000,430.237,-288.387,400.106,-178.163,89.995,89.995,
8258238.000,430.640,-269.107,400.251,-177.886,89.984,89.984,
8258264.000,430.782,-242.318,400.237,-177.651,89.972,89.972,
8258294.000,430.824,-214.299,400.165,-177.658,89.960,89.960,
8258322.000,430.866,-186.289,400.082,-178.010,89.944,89.944,
8258350.000,430.909,-154.293,399.966,-178.877,89.917,89.917,
8258383.000,430.941,-126.317,399.834,179.895,89.880,89.880,
8258413.000,430.965,-98.367,399.642,178.126,89.817,89.817,
8258439.000,430.932,-70.892,399.359,175.641,89.712,89.712,
8258467.000,430.673,-46.354,399.204,172.492,89.657,89.657,
8258495.000,430.303,-24.465,399.343,168.270,89.717,89.717,
8258524.000,430.162,-12.896,399.475,165.087,89.772,89.772,
8258550.000,430.083,-1.792,399.604,161.472,89.825,89.825,
8258578.000,430.053,4.497,399.698,160.011,89.865,89.865,
8258606.000,430.035,9.619,399.778,160.788,89.901,89.901,
8258628.000,430.026,13.918,399.826,164.778,89.924,89.924,
8258652.000,430.022,17.760,399.848,172.213,89.935,89.935,
8258678.000,430.022,21.432,399.852,-178.282,89.937,89.937,
8258701.000,430.024,25.175,399.837,-169.674,89.930,89.930,
8258727.000,430.032,29.980,399.791,-163.615,89.908,89.908,
8258751.000,430.051,35.777,399.705,-162.097,89.869,89.869,
8258779.000,430.080,41.968,399.613,-163.380,89.830,89.830,
8258805.000,430.131,49.804,399.518,-165.895,89.790,89.790,
8258830.000,430.236,60.129,399.406,-168.951,89.742,89.742,
8258855.000,430.497,76.899,399.271,-172.649,89.680,89.680,
8258879.000,430.773,95.690,399.308,-175.516,89.683,89.683,
8258903.000,430.928,117.684,399.521,-177.875,89.755,89.755,
8258931.000,430.937,145.360,399.789,-179.892,89.849,89.849,
8258957.000,430.908,173.340,399.965,178.822,89.903,89.903,
8258985.000,430.879,197.339,400.071,178.160,89.932,89.932,
8259010.000,430.843,225.351,400.168,177.801,89.954,89.954,
8259035.000,430.809,249.355,400.236,177.797,89.968,89.968,
8259059.000,430.634,271.615,400.230,177.960,89.982,89.982,
8259087.000,430.264,287.852,400.107,178.143,89.994,89.994,
8259111.000,430.035,297.169,400.015,178.428,89.999,89.999,
8259133.000,430.000,299.931,400.000,0.000,90.000,90.000,
8259156.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259183.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259205.000,430.000,300.000,400.000,0.000,90.000,90.000,
