J1,J2,J3,J4,J5,J6,empty
3872067.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
3872083.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872084.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872085.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872086.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872087.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872088.000,21.439,-4.999,80.000,0.055,70.872,-6.645,
3872099.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872100.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872101.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872102.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872103.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872104.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872105.000,21.438,-5.001,80.001,0.056,70.872,-6.649,
3872115.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872117.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872119.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872121.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872123.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872125.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872127.000,21.437,-5.002,80.004,0.058,70.872,-6.654,
3872132.000,21.434,-5.005,80.009,0.061,70.873,-6.662,
3872134.000,21.434,-5.005,80.009,0.061,70.873,-6.662,
3872137.000,21.434,-5.005,80.009,0.061,70.873,-6.662,
3872140.000,21.434,-5.005,80.009,0.061,70.873,-6.662,
3872143.000,21.434,-5.005,80.009,0.061,70.873,-6.662,
3872146.000,21.430,-5.009,80.016,0.066,70.874,-6.675,
3872162.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872164.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872166.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872169.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872171.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872173.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872175.000,21.424,-5.015,80.028,0.074,70.875,-6.696,
3872192.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872195.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872197.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872199.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872202.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872204.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872205.000,21.402,-5.038,80.070,0.103,70.880,-6.770,
3872222.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872224.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872227.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872229.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872231.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872233.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872235.000,21.350,-5.091,80.165,0.167,70.892,-6.940,
3872239.000,21.301,-5.142,80.257,0.230,70.904,-7.105,
3872241.000,21.301,-5.142,80.257,0.230,70.904,-7.105,
3872243.000,21.301,-5.142,80.257,0.230,70.904,-7.105,
