J1,J2,J3,J4,J5,J6,empty
8801816.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801818.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801820.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801822.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801824.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801827.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801828.000,33.380,-8.460,90.188,-33.392,41.180,31.604,
8801832.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801834.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801836.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801838.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801841.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801843.000,34.622,-8.353,90.962,-39.542,39.492,38.044,
8801846.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801848.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801850.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801853.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801855.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801858.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801860.000,35.918,-8.132,91.709,-46.611,38.204,45.391,
8801878.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801880.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801882.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801884.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801886.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801888.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801890.000,38.374,-7.371,92.932,-61.480,37.389,60.729,
8801895.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801897.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801899.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801901.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801903.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801905.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801907.000,39.498,-6.851,93.392,-68.649,37.845,68.090,
8801911.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801913.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801915.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801917.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801919.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801922.000,40.509,-6.273,93.743,-75.126,38.753,74.729,
8801923.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801928.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801930.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801932.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801934.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801936.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801938.000,41.362,-5.696,93.984,-80.509,39.902,80.240,
8801942.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801944.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801946.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801948.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801951.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801952.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801954.000,42.007,-5.198,94.127,-84.497,41.013,84.320,
8801957.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801959.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801961.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801964.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801966.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801968.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801970.000,42.409,-4.857,94.198,-86.941,41.814,86.818,
8801988.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8801990.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8801992.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8801994.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8801996.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8801999.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8802001.000,42.775,-4.527,94.249,-89.125,42.616,89.050,
8802004.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802006.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802009.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802011.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802013.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802015.000,42.842,-4.464,94.256,-89.518,42.769,89.452,
8802019.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802020.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802021.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802022.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802023.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802024.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802025.000,42.872,-4.435,94.260,-89.698,42.841,89.636,
8802036.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802038.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802040.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802042.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802044.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802046.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802048.000,42.886,-4.422,94.261,-89.779,42.873,89.718,
8802051.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802053.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802055.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802057.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802059.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802061.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802063.000,42.892,-4.417,94.262,-89.813,42.886,89.754,
8802067.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802069.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802071.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802073.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802075.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802077.000,42.894,-4.414,94.262,-89.829,42.893,89.770,
8802095.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802097.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802099.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802101.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802103.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802105.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802107.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802110.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802113.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802115.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802117.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
