J1,J2,J3,J4,J5,J6,empty
4925477.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925495.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925497.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925499.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925501.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925504.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925507.000,21.439,-5.000,80.000,0.055,70.872,-6.645,
4925525.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925528.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925531.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925533.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925536.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925538.000,21.439,-5.003,80.008,0.054,70.863,-6.644,
4925540.000,21.438,-5.007,80.016,0.053,70.855,-6.643,
4925557.000,21.437,-5.012,80.027,0.052,70.844,-6.642,
4925560.000,21.437,-5.012,80.027,0.052,70.844,-6.642,
4925563.000,21.437,-5.012,80.027,0.052,70.844,-6.642,
4925565.000,21.437,-5.012,80.027,0.052,70.844,-6.642,
4925569.000,21.437,-5.012,80.027,0.052,70.844,-6.642,
4925572.000,21.436,-5.019,80.043,0.051,70.828,-6.641,
4925574.000,21.436,-5.019,80.043,0.051,70.828,-6.641,
4925589.000,21.434,-5.029,80.065,0.049,70.806,-6.639,
4925591.000,21.434,-5.029,80.065,0.049,70.806,-6.639,
4925594.000,21.434,-5.029,80.065,0.049,70.806,-6.639,
4925597.000,21.434,-5.029,80.065,0.049,70.806,-6.639,
4925600.000,21.434,-5.029,80.065,0.049,70.806,-6.639,
4925603.000,21.431,-5.044,80.098,0.045,70.772,-6.635,
4925619.000,21.427,-5.066,80.147,0.041,70.722,-6.631,
4925622.000,21.427,-5.066,80.147,0.041,70.722,-6.631,
4925625.000,21.427,-5.066,80.147,0.041,70.722,-6.631,
4925629.000,21.427,-5.066,80.147,0.041,70.722,-6.631,
4925632.000,21.427,-5.066,80.147,0.041,70.722,-6.631,
4925635.000,21.422,-5.095,80.212,0.035,70.656,-6.624,
4925638.000,21.422,-5.095,80.212,0.035,70.656,-6.624,
4925649.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925651.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925654.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925657.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925659.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925662.000,21.415,-5.136,80.304,0.026,70.563,-6.615,
4925665.000,21.404,-5.194,80.434,0.013,70.431,-6.602,
4925681.000,21.389,-5.281,80.629,-0.004,70.233,-6.582,
4925684.000,21.389,-5.281,80.629,-0.004,70.233,-6.582,
4925688.000,21.389,-5.281,80.629,-0.004,70.233,-6.582,
4925691.000,21.389,-5.281,80.629,-0.004,70.233,-6.582,
4925695.000,21.389,-5.281,80.629,-0.004,70.233,-6.582,
4925698.000,21.366,-5.404,80.906,-0.031,69.951,-6.554,
4925699.000,21.366,-5.404,80.906,-0.031,69.951,-6.554,
4925712.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925714.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925716.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925719.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925721.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925723.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925725.000,21.337,-5.564,81.266,-0.066,69.584,-6.517,
4925744.000,21.240,-6.086,82.446,-0.183,68.374,-6.392,
4925747.000,21.240,-6.086,82.446,-0.183,68.374,-6.392,
4925751.000,21.240,-6.086,82.446,-0.183,68.374,-6.392,
4925755.000,21.240,-6.086,82.446,-0.183,68.374,-6.392,
4925758.000,21.163,-6.488,83.361,-0.275,67.428,-6.291,
4925762.000,21.163,-6.488,83.361,-0.275,67.428,-6.291,
4925774.000,21.063,-6.998,84.529,-0.396,66.211,-6.158,
4925777.000,21.063,-6.998,84.529,-0.396,66.211,-6.158,
4925781.000,21.063,-6.998,84.529,-0.396,66.211,-6.158,
4925784.000,21.063,-6.998,84.529,-0.396,66.211,-6.158,
4925787.000,21.063,-6.998,84.529,-0.396,66.211,-6.158,
4925790.000,20.947,-7.578,85.870,-0.540,64.801,-5.996,
4925793.000,20.947,-7.578,85.870,-0.540,64.801,-5.996,
