X,Y,Z,rX,rY,rZ,empty
8801824.000,432.835,249.907,400.913,-160.921,62.544,62.544,
8801826.000,432.835,249.907,400.913,-160.921,62.544,62.544,
8801827.000,432.835,249.907,400.913,-160.921,62.544,62.544,
8801831.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801833.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801835.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801837.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801839.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801842.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801844.000,432.504,255.757,400.806,-160.447,65.746,65.746,
8801848.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801850.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801852.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801854.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801857.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801859.000,432.152,261.982,400.693,-159.950,69.155,69.155,
8801878.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801880.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801882.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801883.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801885.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801887.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801890.000,431.456,274.273,400.469,-158.983,75.891,75.891,
8801894.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801896.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801898.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801900.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801902.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801905.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801907.000,431.120,280.199,400.361,-158.523,79.140,79.140,
8801911.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801913.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801915.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801917.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801918.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801920.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801922.000,430.806,285.759,400.259,-158.093,82.189,82.189,
8801927.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801929.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801931.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801933.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801935.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801937.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801939.000,430.529,290.640,400.170,-157.716,84.866,84.866,
8801944.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801946.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801948.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801950.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801951.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801954.000,430.312,294.475,400.100,-157.421,86.969,86.969,
8801957.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801959.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801961.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801964.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801966.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801968.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801971.000,430.173,296.940,400.055,-157.232,88.322,88.322,
8801987.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8801989.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8801992.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8801994.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8801996.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8801998.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8802000.000,430.043,299.232,400.013,-157.056,89.579,89.579,
8802004.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802005.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802007.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802009.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802011.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802013.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802015.000,430.019,299.655,400.006,-157.023,89.810,89.810,
8802019.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802020.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802021.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802022.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802023.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802024.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802025.000,430.008,299.849,400.002,-157.008,89.917,89.917,
8802037.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802039.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802041.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802043.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802044.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802046.000,430.003,299.937,400.001,-157.002,89.965,89.965,
8802050.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802052.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802054.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802056.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802058.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802060.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802062.000,430.001,299.974,400.000,-156.999,89.985,89.985,
8802065.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802068.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802070.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802072.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802074.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802076.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802078.000,430.000,299.991,400.000,-156.998,89.995,89.995,
8802096.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802098.000,430.000,300.000,400.000,0.000,89.999,89.999,
