X,Y,Z,rX,rY,rZ,empty
3872067.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872083.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872084.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872085.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872086.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872087.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872088.000,436.065,192.862,401.953,-166.030,31.458,31.458,
3872099.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872100.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872101.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872102.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872103.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872104.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872105.000,436.060,192.854,401.944,-166.030,31.457,31.457,
3872114.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872117.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872119.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872121.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872123.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872125.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872127.000,436.053,192.842,401.931,-166.030,31.455,31.455,
3872131.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872133.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872136.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872138.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872140.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872143.000,436.041,192.822,401.910,-166.029,31.452,31.452,
3872146.000,436.022,192.792,401.877,-166.029,31.447,31.447,
3872163.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872165.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872167.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872170.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872172.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872174.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872176.000,435.993,192.744,401.825,-166.028,31.439,31.439,
3872193.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872195.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872197.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872199.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872201.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872203.000,435.887,192.571,401.637,-166.025,31.412,31.412,
3872207.000,435.791,192.413,401.466,-166.022,31.386,31.386,
3872208.000,435.791,192.413,401.466,-166.022,31.386,31.386,
3872209.000,435.791,192.413,401.466,-166.022,31.386,31.386,
3872210.000,435.791,192.413,401.466,-166.022,31.386,31.386,
3872211.000,435.791,192.413,401.466,-166.022,31.386,31.386,
3872224.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872226.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872228.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872231.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872233.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872236.000,435.646,192.176,401.208,-166.018,31.349,31.349,
3872238.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872240.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872243.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872245.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872247.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872250.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872252.000,435.412,191.793,400.792,-166.011,31.287,31.287,
3872255.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872256.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872258.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872260.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872262.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872265.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872267.000,435.029,191.165,400.111,-166.001,31.187,31.187,
3872271.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872273.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872276.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872278.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872280.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872283.000,434.524,190.339,399.214,-165.988,31.055,31.055,
3872285.000,433.803,189.157,397.930,-165.970,30.865,30.865,
3872302.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872304.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872306.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872308.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872310.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872313.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872315.000,432.638,187.249,395.860,-165.944,30.560,30.560,
3872317.000,431.232,184.946,393.359,-165.917,30.190,30.190,
3872318.000,431.232,184.946,393.359,-165.917,30.190,30.190,
3872319.000,431.232,184.946,393.359,-165.917,30.190,30.190,
3872320.000,431.232,184.946,393.359,-165.917,30.190,30.190,
3872332.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872334.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872336.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872338.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872340.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872342.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872344.000,429.418,181.974,390.133,-165.889,29.714,29.714,
3872347.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872349.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872351.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872353.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872355.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872357.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872359.000,427.177,178.304,386.148,-165.866,29.124,29.124,
3872363.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872365.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872367.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872369.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872372.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872374.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872377.000,424.525,173.961,381.433,-165.854,28.427,28.427,
3872394.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872396.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872398.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872400.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872401.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872402.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872403.000,417.969,163.222,369.774,-165.893,26.702,26.702,
3872409.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872411.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872414.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872416.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872418.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872421.000,414.413,157.398,363.451,-165.954,25.768,25.768,
3872440.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872441.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872443.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872446.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872449.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872451.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872454.000,406.331,144.160,349.079,-166.192,23.653,23.653,
3872471.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872474.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872476.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872479.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872482.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872485.000,398.149,130.760,334.531,-166.570,21.529,21.529,
3872487.000,393.859,123.733,326.902,-166.820,20.424,20.424,
3872503.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872504.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872506.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872508.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872510.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872512.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872513.000,389.544,116.665,319.229,-167.107,19.321,19.321,
3872519.000,385.483,110.014,312.008,-167.409,18.292,18.292,
3872521.000,385.483,110.014,312.008,-167.409,18.292,18.292,
3872523.000,385.483,110.014,312.008,-167.409,18.292,18.292,
