J1,J2,J3,J4,J5,J6,empty
8257836.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257860.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257884.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257907.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257930.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257954.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8257981.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258005.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258030.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258052.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258075.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258099.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8258122.000,-48.346,-4.427,94.275,89.864,48.346,-89.796,
8258190.000,-47.776,-5.039,94.836,89.812,47.777,-89.723,
8258223.000,-46.283,-6.535,96.176,89.642,46.285,-89.492,
8258255.000,-43.777,-8.857,98.210,89.291,43.782,-89.039,
8258280.000,-40.646,-11.420,100.377,88.732,40.660,-88.356,
8258310.000,-37.197,-13.812,102.309,87.941,37.227,-87.448,
8258336.000,-33.419,-15.994,103.998,86.855,33.478,-86.270,
8258363.000,-28.686,-18.190,105.626,85.117,28.801,-84.475,
8258397.000,-24.188,-19.809,106.782,82.932,24.382,-82.296,
8258425.000,-19.391,-21.108,107.682,79.655,19.711,-79.080,
8258455.000,-14.650,-22.035,108.309,74.783,15.158,-74.311,
8258483.000,-10.539,-22.589,108.678,68.239,11.299,-67.881,
8258511.000,-7.420,-22.846,108.847,60.185,8.493,-59.926,
8258537.000,-5.217,-22.935,108.905,50.802,6.663,-50.619,
8258562.000,-3.584,-22.953,108.917,40.255,5.472,-40.128,
8258592.000,-2.485,-22.944,108.911,30.608,4.808,-30.520,
