X,Y,Z,rX,rY,rZ,empty
4925477.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925495.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925497.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925500.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925502.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925505.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925508.000,436.065,192.862,401.953,-166.030,31.458,31.458,
4925524.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925527.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925529.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925532.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925534.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925536.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925538.000,436.059,192.851,401.920,-166.029,31.462,31.462,
4925556.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925559.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925561.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925564.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925565.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925569.000,436.047,192.829,401.848,-166.028,31.471,31.471,
4925572.000,436.036,192.809,401.785,-166.026,31.479,31.479,
4925588.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925590.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925592.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925595.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925598.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925601.000,436.022,192.783,401.701,-166.024,31.489,31.489,
4925604.000,436.000,192.743,401.572,-166.021,31.505,31.505,
4925620.000,435.967,192.684,401.385,-166.017,31.528,31.528,
4925623.000,435.967,192.684,401.385,-166.017,31.528,31.528,
4925626.000,435.967,192.684,401.385,-166.017,31.528,31.528,
4925629.000,435.967,192.684,401.385,-166.017,31.528,31.528,
4925632.000,435.967,192.684,401.385,-166.017,31.528,31.528,
4925634.000,435.924,192.605,401.133,-166.011,31.559,31.559,
4925637.000,435.924,192.605,401.133,-166.011,31.559,31.559,
4925651.000,435.863,192.494,400.778,-166.003,31.603,31.603,
4925653.000,435.863,192.494,400.778,-166.003,31.603,31.603,
4925656.000,435.863,192.494,400.778,-166.003,31.603,31.603,
4925659.000,435.863,192.494,400.778,-166.003,31.603,31.603,
4925662.000,435.863,192.494,400.778,-166.003,31.603,31.603,
4925665.000,435.777,192.337,400.277,-165.992,31.664,31.664,
4925680.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925683.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925686.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925689.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925692.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925694.000,435.647,192.100,399.521,-165.974,31.757,31.757,
4925697.000,435.463,191.763,398.447,-165.950,31.889,31.889,
4925711.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925714.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925716.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925718.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925720.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925723.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925725.000,435.222,191.325,397.048,-165.918,32.062,32.062,
4925743.000,434.427,189.875,392.419,-165.813,32.631,32.631,
4925746.000,434.427,189.875,392.419,-165.813,32.631,32.631,
4925749.000,434.427,189.875,392.419,-165.813,32.631,32.631,
4925752.000,434.427,189.875,392.419,-165.813,32.631,32.631,
4925755.000,434.427,189.875,392.419,-165.813,32.631,32.631,
4925758.000,433.805,188.739,388.793,-165.731,33.077,33.077,
4925762.000,433.805,188.739,388.793,-165.731,33.077,33.077,
4925776.000,433.001,187.273,384.116,-165.626,33.653,33.653,
4925779.000,433.001,187.273,384.116,-165.626,33.653,33.653,
4925783.000,433.001,187.273,384.116,-165.626,33.653,33.653,
4925786.000,433.001,187.273,384.116,-165.626,33.653,33.653,
4925789.000,432.067,185.569,378.677,-165.504,34.323,34.323,
4925792.000,432.067,185.569,378.677,-165.504,34.323,34.323,
4925795.000,432.067,185.569,378.677,-165.504,34.323,34.323,
4925807.000,430.871,183.388,371.715,-165.349,35.180,35.180,
4925811.000,430.871,183.388,371.715,-165.349,35.180,35.180,
4925814.000,430.871,183.388,371.715,-165.349,35.180,35.180,
4925818.000,430.871,183.388,371.715,-165.349,35.180,35.180,
4925821.000,429.476,180.844,363.594,-165.170,36.181,36.181,
4925825.000,429.476,180.844,363.594,-165.170,36.181,36.181,
4925836.000,428.005,178.161,355.029,-164.983,37.237,37.237,
4925839.000,428.005,178.161,355.029,-164.983,37.237,37.237,
4925842.000,428.005,178.161,355.029,-164.983,37.237,37.237,
4925845.000,428.005,178.161,355.029,-164.983,37.237,37.237,
4925849.000,428.005,178.161,355.029,-164.983,37.237,37.237,
4925852.000,426.398,175.230,345.674,-164.781,38.391,38.391,
4925855.000,426.398,175.230,345.674,-164.781,38.391,38.391,
4925867.000,424.680,172.096,335.670,-164.567,39.625,39.625,
4925870.000,424.680,172.096,335.670,-164.567,39.625,39.625,
4925873.000,424.680,172.096,335.670,-164.567,39.625,39.625,
4925876.000,424.680,172.096,335.670,-164.567,39.625,39.625,
4925879.000,424.680,172.096,335.670,-164.567,39.625,39.625,
4925882.000,422.751,168.577,324.440,-164.329,41.012,41.012,
4925886.000,422.751,168.577,324.440,-164.329,41.012,41.012,
4925900.000,420.747,164.922,312.772,-164.085,42.453,42.453,
4925903.000,420.747,164.922,312.772,-164.085,42.453,42.453,
4925906.000,420.747,164.922,312.772,-164.085,42.453,42.453,
4925909.000,420.747,164.922,312.772,-164.085,42.453,42.453,
4925912.000,420.747,164.922,312.772,-164.085,42.453,42.453,
4925915.000,418.818,161.403,301.541,-163.852,43.841,43.841,
4925917.000,418.818,161.403,301.541,-163.852,43.841,43.841,
4925930.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925933.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925936.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925939.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925941.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925944.000,416.721,157.579,289.336,-163.602,45.351,45.351,
4925946.000,414.596,153.703,276.965,-163.351,46.881,46.881,
4925963.000,412.451,149.791,264.477,-163.101,48.427,48.427,
4925966.000,412.451,149.791,264.477,-163.101,48.427,48.427,
4925968.000,412.451,149.791,264.477,-163.101,48.427,48.427,
4925970.000,412.451,149.791,264.477,-163.101,48.427,48.427,
4925974.000,412.451,149.791,264.477,-163.101,48.427,48.427,
4925977.000,410.292,145.853,251.908,-162.851,49.983,49.983,
4925992.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4925995.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4925998.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4926001.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4926003.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4926006.000,408.260,142.145,240.073,-162.618,51.450,51.450,
4926008.000,406.085,138.178,227.411,-162.372,53.019,53.019,
4926025.000,403.905,134.203,214.722,-162.127,54.592,54.592,
4926028.000,403.905,134.203,214.722,-162.127,54.592,54.592,
4926031.000,403.905,134.203,214.722,-162.127,54.592,54.592,
4926034.000,403.905,134.203,214.722,-162.127,54.592,54.592,
